,1,2,3
0,181.2568359375,187.2371826171875,195.21694946289062
1,191.736572265625,193.019287109375,193.2832489013672
2,209.19163513183594,213.67221069335938,215.2492218017578
3,162.23712158203125,164.6590118408203,179.5462646484375
4,193.103271484375,198.9531707763672,200.6080322265625
5,204.16229248046875,204.5124053955078,206.1105194091797
6,180.6106414794922,185.40017700195312,187.72967529296875
7,266.24737548828125,284.8908996582031,286.2138671875
8,230.61376953125,236.4357452392578,240.7609100341797
9,194.63153076171875,201.4544677734375,202.07708740234375
10,206.41445922851562,212.91770935058594,214.81747436523438
11,202.26654052734375,211.5404052734375,214.16688537597656
12,187.9790496826172,190.2224884033203,191.31439208984375
13,188.8255157470703,189.43267822265625,207.10714721679688
14,246.24322509765625,252.1860809326172,262.59381103515625
15,229.60198974609375,234.25784301757812,237.02296447753906
16,193.74420166015625,209.31845092773438,210.98406982421875
17,240.12608337402344,245.1475830078125,247.0491180419922
18,254.96737670898438,277.11822509765625,278.0936279296875
19,204.4659881591797,219.44680786132812,219.57281494140625
20,167.5293426513672,207.06130981445312,228.15420532226562
21,203.2401580810547,215.8143310546875,220.3818817138672
22,195.67274475097656,204.15423583984375,205.802490234375
23,239.64547729492188,243.35531616210938,244.48269653320312
24,176.25083923339844,187.80015563964844,192.59347534179688
25,237.19857788085938,239.43919372558594,245.1071319580078
26,210.9562530517578,212.0904998779297,212.10476684570312
27,193.46192932128906,196.61154174804688,202.7021484375
28,196.92532348632812,200.54940795898438,202.33544921875
29,245.4705352783203,255.99293518066406,256.0712890625
30,267.1357727050781,271.15277099609375,272.7392578125
31,190.04002380371094,196.86302185058594,202.4292755126953
32,245.33282470703125,247.70199584960938,247.7763671875
33,200.8914337158203,214.54505920410156,221.94668579101562
34,203.4122772216797,209.2310028076172,209.29672241210938
35,213.5525665283203,213.77835083007812,215.6045684814453
36,204.29971313476562,204.32223510742188,206.51651000976562
37,155.53781127929688,177.80577087402344,187.91903686523438
38,201.8466033935547,214.9815673828125,219.3062286376953
39,184.02378845214844,187.2443084716797,191.65122985839844
40,213.05996704101562,229.26925659179688,233.77719116210938
41,206.8748016357422,215.16143798828125,215.6248779296875
42,256.9697265625,260.4718017578125,262.19089133750026
43,235.08432006835938,241.94683837890625,242.61962890625
44,192.47763061523438,196.33009338378906,200.44747924804688
45,175.54196166992188,178.0769805908203,180.16915893554688
46,214.58917236328125,221.5223388671875,222.3997802734375
47,244.04556274414062,248.0763702392578,250.94619750976562
48,298.844970703125,305.4162902832031,307.3973083496094
49,214.28131103515625,221.6811981201172,224.05593872070312
50,207.11865234375,215.6806182861328,216.59619140625
51,195.64114379882812,198.97918701171875,202.95033264160156
52,227.29043579101562,227.92596435546875,229.13241577148438
53,207.5149383544922,210.58660888671875,214.2100067138672
54,214.72657775878906,222.94476318359375,223.1416015625
55,211.2675323486328,212.9190673828125,213.01380920410156
56,206.34298706054688,206.8387451171875,213.7711639404297
57,197.95945739746094,203.8233184814453,204.04397583007812
58,188.44155883789062,196.7499542236328,198.81747436523438
59,202.5166473388672,205.96522521972656,207.68414306640625
60,233.2283935546875,239.3449249267578,244.71878051757812
61,187.2100067138672,207.07266235351562,208.19044494628906
62,226.33462524414062,229.19544982910156,231.28732299804688
63,249.1019287109375,251.40911865234375,252.75314331054688
64,184.84890747070312,198.73898315429688,199.70068359375
65,224.0413818359375,228.7274627685547,230.07598876953125
66,193.2818603515625,193.74380493164062,196.40675354003906
67,219.74655151367188,223.47708129882812,224.6665802001953
68,231.5316619873047,234.49209594726562,236.8192901611328
69,216.6271514892578,224.86114501953125,225.5355224609375
70,189.14089965820312,191.92901611328125,194.3975830078125
71,237.89682006835938,240.3079833984375,240.62945556640625
72,196.2203369140625,201.11868286132812,203.15003967285156
73,210.75894165039062,212.61947631835938,213.46156311035156
74,201.59449768066406,210.18505859375,213.92996215820312
75,177.08819580078125,183.3277130126953,183.61068725585938
76,184.45504760742188,186.51100158691406,187.0244903564453
77,180.39004516601562,183.71835327148438,183.9729766845703
